latitude,longitude,ipString,currentTime,availableMemory,rssi,timezone,Processors,Battery,Vendor,Model,systemPerformance,cpu,accel,gyro,magnet,screenWidth,screenLength,screenDensity,hasTouchScreen,hasCamera,hasFrontCamera,hasMicrophone,hasTemperatureSensor
65.2812323,130.220355,10.0.2.55,2024-11-07 14:51:19,1094042613,-28,Etc/UTC,4,91,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.6047773,129.696806,10.0.2.52,2024-11-07 13:59:55,1123234605,-30,Etc/UTC,4,95,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
64.9985423,129.855727,10.0.2.236,2024-11-07 15:41:22,1060433750,-37,Etc/UTC,4,90,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.0036363,129.750999,10.0.2.209,2024-11-07 20:33:41,1065476460,-31,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.2328063,129.931968,10.0.2.121,2024-11-07 08:18:15,1154698604,-39,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
64.9624663,129.774854,10.0.2.11,2024-11-07 06:23:57,1121827825,-38,Etc/UTC,4,92,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.5028963,130.130612,10.0.2.212,2024-11-07 15:07:33,1134237746,-34,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.0973733,129.598148,10.0.2.67,2024-11-07 00:16:57,1165342782,-27,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.2413693,130.059742,10.0.2.140,2024-11-07 14:28:18,1208261827,-35,Etc/UTC,4,91,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.3466973,129.817279,10.0.2.115,2024-11-07 13:20:51,1204639970,-37,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.4491203,130.126087,10.0.2.156,2024-11-07 10:28:22,1053052468,-21,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.1547593,129.757121,10.0.2.203,2024-11-07 07:57:12,1175837932,-28,Etc/UTC,4,94,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.0354723,129.645702,10.0.2.234,2024-11-07 14:03:10,1192291253,-27,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.3819903,129.388493,10.0.2.134,2024-11-07 13:00:30,1067533486,-20,Etc/UTC,4,91,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.0674623,129.965809,10.0.2.86,2024-11-07 21:21:21,1041860671,-24,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.0468153,129.843738,10.0.2.18,2024-11-07 03:19:51,1018053764,-32,Etc/UTC,4,98,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.3712203,129.487354,10.0.2.137,2024-11-07 07:33:22,1099752270,-24,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
