region_tz_code,os_code,device_type_code,manufacturer_code,is_rooted,gps_latitude,gps_longitude,location_conf_radius,location_visit_count,shift_profile_code,session_start_epoch,session_duration_mins,time_since_last_login_mins,day_type_code,ip_address_as_int,ip_reputation_code,vpn_tor_usage,typing_speed_cpm,click_pattern_code,role_code,scope_code,failed_login_attempts,historic_risk_score,system_mode_code
1.2,4.0,1,1.0,0,39.83,-79.51,28.63,0.67,1.0,1716243500.0,-3.52,-138.83,0,1613962600.0,-0.6114128828048706,0,100.89,2.9395318031311035,1.0,3.0,0.34,-3.06,0.0
1.3,3.0,1,2.0,0,38.3,-90.57,22.25,5.77,2.0,1716397200.0,9.47,639.0,0,274005760.0,-0.7260059118270874,0,95.72,3.0,1.0,2.0,-0.27,2.92,0.0
1.3,-1.3634614944458008,1,3.0,0,36.53,-74.79,20.6,4.42,2.914191722869873,1716466700.0,141.08,803.22,0,553773900.0,1.0,0,58.45,3.0,1.0,1.0,-0.45,10.63,0.0
1.3,3.0,1,3.0,0,35.05,-67.64,19.41,6.01,3.7213752269744873,1716622300.0,80.59,2012.54,0,-756532100.0,1.0,0,55.48,1.0,1.0,1.0,-0.28,15.05,-0.5036036968231201
1.3,3.0,1,2.0,0,32.23,-87.56,18.46,6.81,3.118152141571045,1716629400.0,72.4,1741.45,0,-717336770.0,1.0,0,41.75,2.0,1.0,1.0,-0.38,-8.22,-0.5757439732551575
1.2,1.0,1,3.0,0,36.47,-68.36,20.09,-1.94,2.0,1716173300.0,77.72,128.22,0,1764282400.0,1.0,0,46.84,3.0,1.0,2.0,0.25,5.55,0.0
1.3,1.0,1,3.0,0,35.83,-81.77,16.86,1.08,3.0,1716261000.0,55.72,299.76,0,943074200.0,1.0,0,54.96,2.0,1.0,2.0,0.02,-0.46,0.0
1.3,2.0,1,3.0,0,35.32,-91.29,16.89,1.39,2.0,1716300800.0,105.96,758.68,0,827917950.0,1.0,0,51.82,2.0,2.0,2.0,-0.18,17.29,0.0
1.3,2.0,1,3.0,0,33.85,-84.92,17.79,0.67,3.0,1716251100.0,77.31,526.27,0,1024442750.0,1.0,0,56.65,1.0,2.0,2.0,-0.17,25.64,0.0
1.3,1.0,1,3.0,0,36.98,-91.32,18.21,3.79,3.0,1716360300.0,94.38,370.69,0,871650100.0,1.0,0,60.84,2.0,1.0,1.0,-0.34,14.85,0.0
1.3,1.0,1,3.0,0,37.69,-88.67,15.06,2.31,3.0,1716313500.0,85.34,447.39,0,1046124350.0,1.0,0,48.68,2.0,1.0,2.0,-0.23,6.51,0.0
1.3,1.0,1,4.0,0,34.88,-52.9,20.17,-2.26,2.831474781036377,1716279200.0,153.52,1179.02,0,448069060.0,2.0,0,54.13,1.0,2.0,2.0,-0.42,32.51,0.0
1.3,3.0,1,2.0,0,35.44,-94.46,18.81,1.45,2.0,1716288800.0,76.99,538.07,0,1451505300.0,1.0,0,63.71,3.0,1.0,2.0,0.08,10.07,0.0
1.3,-0.5882667303085327,1,3.0,0,38.04,-54.27,22.71,-0.44,3.0,1716253200.0,158.18,494.29,0,2278434800.0,1.0,0,57.05,2.6358773708343506,1.0,2.0,0.41,7.14,0.0
1.3,4.571804046630859,1,2.0,0,36.13,-90.11,25.01,10.58,2.568737030029297,1716716300.0,-33.79,1747.71,0,-1498649300.0,-0.5695262551307678,0,85.6,2.0,1.0,1.0,-0.37,-5.76,-0.7207360863685608
1.3,-0.8336625695228577,1,4.0,0,38.29,-73.02,18.46,8.86,4.329584121704102,1716655900.0,119.37,1380.95,0,-606055500.0,1.0,0,55.22,2.0,1.0,2.0,-0.84,10.53,-0.5915176868438721
1.3,2.0,1,2.0,0,35.35,-92.71,18.45,1.49,2.0,1716282600.0,91.78,634.22,0,1778620500.0,1.0,0,55.62,3.0,1.0,1.0,0.21,13.48,0.0
1.3,1.0,1,2.0,0,33.38,-82.96,15.97,1.82,2.617591142654419,1716438700.0,135.21,1195.81,0,273337570.0,1.0,0,34.74,2.0,1.0,1.0,-0.23,5.79,0.0
1.2,1.0,1,3.0,0,44.48,-31.48,27.11,-1.74,2.0,1716170900.0,78.23,-479.72,0,2526538200.0,-0.5612069964408875,0,82.5,4.02067232131958,1.0,3.0,0.65,-23.18,0.0
1.3,1.0,1,3.0,0,35.06,-55.85,21.99,0.57,3.0,1716243700.0,142.9,52.29,0,2015743500.0,1.0,0,55.68,3.0,1.0,2.0,-0.07,18.01,0.0
1.3,1.0,1,3.0,0,33.59,-90.8,15.85,4.58,3.0,1716433400.0,111.69,842.09,0,214326320.0,1.0,0,41.16,2.0,1.0,1.0,-0.41,7.19,0.0
1.3,1.0,1,3.0,0,41.21,-67.85,22.66,0.22,2.0,1716195800.0,77.07,-299.01,0,1950398800.0,1.0,0,78.14,3.0,2.0,2.0,0.06,7.12,0.0
1.3,3.0,1,2.0,0,39.02,-86.01,22.62,1.48,1.0,1716230300.0,47.26,-130.18,0,1421436400.0,1.0,0,89.08,3.0,1.0,2.0,0.06,8.67,0.0
