region_tz_code,region_tz_code_trust,os_code,os_code_trust,device_type_code,device_type_code_trust,manufacturer_code,manufacturer_code_trust,is_rooted,is_rooted_trust,gps_latitude,gps_latitude_trust,gps_longitude,gps_longitude_trust,location_conf_radius,location_conf_radius_trust,location_visit_count,location_visit_count_trust,shift_profile_code,shift_profile_code_trust,session_start_epoch,session_start_epoch_trust,session_duration_mins,session_duration_mins_trust,time_since_last_login_mins,time_since_last_login_mins_trust,day_type_code,day_type_code_trust,ip_address_as_int,ip_address_as_int_trust,ip_reputation_code,ip_reputation_code_trust,vpn_tor_usage,vpn_tor_usage_trust,typing_speed_cpm,typing_speed_cpm_trust,click_pattern_code,click_pattern_code_trust,role_code,role_code_trust,scope_code,scope_code_trust,failed_login_attempts,failed_login_attempts_trust,historic_risk_score,historic_risk_score_trust,system_mode_code,system_mode_code_trust
1.2,0.8,2.0,0.75,1,0.7,3.0,0.6,0,0.9,35.71,0.7,-103.72,0.7,13.81,0.65,240.28,0.5,1,0.6,1724091600.0,0.55,-1.94,0.5,1556.26,0.4,0,0.6,2758829600.0,0.65,2.0,0.75,0,0.9,47.67,0.85,2,0.7,2.0,0.8,2.0,0.75,-0.65,0.95,20.72,0.9,0,0.8
1.2,0.8,2.0,0.75,1,0.7,4.0,0.6,0,0.9,41.94,0.7,-99.38,0.7,17.12,0.65,251.03,0.5,1,0.6,1728092300.0,0.55,-14.82,0.5,1483.2,0.4,0,0.6,3682616300.0,0.65,2.0,0.75,0,0.9,64.41,0.85,2,0.7,2.0,0.8,3.0,0.75,-0.99,0.95,27.46,0.9,0,0.8
1.2,0.8,3.0,0.75,1,0.7,4.0,0.6,0,0.9,45.71,0.7,-101.06,0.7,19.9,0.65,336.97,0.5,1,0.6,1729195600.0,0.55,10.13,0.5,1394.43,0.4,0,0.6,4104327400.0,0.65,2.0,0.75,0,0.9,50.7,0.85,2,0.7,2.0,0.8,3.0,0.75,-0.94,0.95,29.85,0.9,0,0.8
1.2,0.8,2.0,0.75,1,0.7,5.0,0.6,0,0.9,49.39,0.7,-80.34,0.7,20.62,0.65,411.55,0.5,1,0.6,1729290900.0,0.55,-36.13,0.5,1930.96,0.4,0,0.6,4801192400.0,0.65,2.0,0.75,-1,0.9,55.15,0.85,2,0.7,2.0,0.8,3.0,0.75,-0.96,0.95,27.18,0.9,1,0.8
1.2,0.8,2.0,0.75,1,0.7,3.0,0.6,0,0.9,36.99,0.7,-101.88,0.7,15.63,0.65,451.36,0.5,1,0.6,1725281300.0,0.55,-9.3,0.5,1709.95,0.4,0,0.6,3802255000.0,0.65,2.0,0.75,0,0.9,78.42,0.85,2,0.7,2.0,0.8,3.0,0.75,-0.93,0.95,35.73,0.9,0,0.8
1.2,0.8,2.0,0.75,1,0.7,3.0,0.6,0,0.9,35.76,0.7,-102.61,0.7,15.49,0.65,346.45,0.5,1,0.6,1724266000.0,0.55,-6.92,0.5,1495.35,0.4,0,0.6,3628371000.0,0.65,2.0,0.75,0,0.9,66.73,0.85,2,0.7,2.0,0.8,2.0,0.75,-0.75,0.95,30.95,0.9,0,0.8
1.2,0.8,2.0,0.75,1,0.7,4.0,0.6,0,0.9,40.65,0.7,-94.32,0.7,17.66,0.65,330.34,0.5,1,0.6,1725791200.0,0.55,-38.15,0.5,1659.3,0.4,0,0.6,4327101400.0,0.65,2.0,0.75,0,0.9,63.11,0.85,2,0.7,2.0,0.8,2.0,0.75,-0.83,0.95,29.58,0.9,0,0.8
1.2,0.8,2.0,0.75,1,0.7,3.0,0.6,0,0.9,42.69,0.7,-102.78,0.7,18.93,0.65,363.79,0.5,1,0.6,1730077000.0,0.55,25.25,0.5,1766.99,0.4,0,0.6,4557886500.0,0.65,2.0,0.75,0,0.9,52.06,0.85,2,0.7,2.0,0.8,2.0,0.75,-1.35,0.95,33.42,0.9,0,0.8
1.2,0.8,2.0,0.75,1,0.7,4.0,0.6,0,0.9,43.73,0.7,-94.97,0.7,16.91,0.65,355.59,0.5,1,0.6,1725425200.0,0.55,-7.24,0.5,1620.81,0.4,0,0.6,3843235800.0,0.65,2.0,0.75,0,0.9,50.69,0.85,2,0.7,2.0,0.8,2.0,0.75,-1.0,0.95,22.53,0.9,0,0.8
1.2,0.8,2.0,0.75,1,0.7,3.0,0.6,0,0.9,38.25,0.7,-98.44,0.7,19.08,0.65,238.08,0.5,1,0.6,1727200300.0,0.55,-25.3,0.5,1496.75,0.4,0,0.6,3647265300.0,0.65,2.0,0.75,0,0.9,58.71,0.85,2,0.7,2.0,0.8,2.0,0.75,-1.14,0.95,26.93,0.9,0,0.8
