region_tz_code,os_code,device_type_code,manufacturer_code,is_rooted,gps_latitude,gps_longitude,location_conf_radius,location_visit_count,shift_profile_code,session_start_epoch,session_duration_mins,time_since_last_login_mins,day_type_code,ip_address_as_int,ip_reputation_code,vpn_tor_usage,typing_speed_cpm,click_pattern_code,role_code,scope_code,failed_login_attempts,historic_risk_score,system_mode_code
1.1,2,0,5,0,34.305114,-77.642759,54,11,1,1742811238,29,187,1,2650479514,1,1,78,3,1,2,3,28.47,1
1.2,2,0,4,0,30.513263,-99.20201,37,47,3,1743763252,40,655,0,3347519496,3,0,200,2,3,1,4,47.8,0
1.1,2,1,2,0,42.072705,-83.012807,52,48,2,1743402444,6,1017,0,1211019717,2,1,27,2,2,2,1,44.87,0
1.3,1,0,3,0,45.380764,-123.683331,64,30,3,1742689294,28,144,1,2609980494,3,0,67,2,2,1,5,67.55,1
1.2,1,0,2,0,36.27433,-98.713144,62,12,1,1743736332,224,286,0,3489445554,1,0,97,1,2,2,0,75.47,0
1.3,3,1,1,1,39.539075,-122.944226,45,10,3,1742657657,1,1056,0,2835082553,2,1,104,1,2,1,0,45.7,1
1.3,4,1,1,1,43.957764,-122.145188,16,50,2,1742651684,51,816,1,411271736,3,0,95,3,1,1,2,38.68,1
1.2,3,0,1,0,35.781615,-99.94445,25,3,1,1742336733,68,129,0,2824366098,1,1,21,3,1,1,0,69.44,1
1.3,2,1,2,0,42.445613,-117.594763,18,44,2,1743977386,9,1420,1,1144012599,3,0,67,2,2,1,1,82.63,1
1.3,1,0,3,0,47.887301,-123.594271,64,32,2,1743582232,318,191,0,2395759044,1,1,185,3,1,1,4,27.64,0
1.3,2,1,2,0,35.978185,-116.495946,89,18,3,1742756661,195,380,1,3229260979,2,0,143,1,2,1,3,0.02,0
1.3,1,0,2,0,42.816639,-114.712976,61,49,1,1743399203,48,1440,1,3630168472,1,0,192,1,3,1,4,69.98,0
1.1,4,0,1,1,33.952841,-82.368889,58,22,1,1742531400,123,945,0,2607603363,3,1,47,1,2,1,4,82.74,1
1.1,1,1,2,0,39.513886,-76.823302,17,3,3,1743378044,61,1253,1,2363988860,3,0,153,3,3,1,2,0.55,1
1.3,4,1,1,1,36.151553,-115.292911,24,23,1,1741992853,13,955,0,2550243041,3,1,112,3,3,1,5,19.96,1
1.1,3,0,1,1,46.224975,-76.285043,68,46,2,1744021494,6,1082,1,2552294939,1,1,29,3,1,2,0,74.35,1
1.3,1,0,2,0,46.831799,-122.334237,56,6,3,1744155749,125,687,0,2612244494,3,0,135,1,1,1,1,39.74,1
1.3,1,0,4,1,47.357442,-114.965704,69,8,2,1741724392,256,1415,0,2603605109,2,1,50,2,1,2,3,54.67,1
1.2,3,1,1,0,40.106119,-98.992043,97,14,3,1744205548,148,495,0,2192782969,1,0,182,3,2,1,1,77.01,0
1.2,2,0,4,1,39.409092,-98.785908,70,7,2,1743030847,62,421,0,1672265987,2,1,88,2,2,2,0,13.18,1
