region_tz_code,region_tz_code_trust,os_code,os_code_trust,device_type_code,device_type_code_trust,manufacturer_code,manufacturer_code_trust,is_rooted,is_rooted_trust,gps_latitude,gps_latitude_trust,gps_longitude,gps_longitude_trust,location_conf_radius,location_conf_radius_trust,location_visit_count,location_visit_count_trust,shift_profile_code,shift_profile_code_trust,session_start_epoch,session_start_epoch_trust,session_duration_mins,session_duration_mins_trust,time_since_last_login_mins,time_since_last_login_mins_trust,day_type_code,day_type_code_trust,ip_address_as_int,ip_address_as_int_trust,ip_reputation_code,ip_reputation_code_trust,vpn_tor_usage,vpn_tor_usage_trust,typing_speed_cpm,typing_speed_cpm_trust,click_pattern_code,click_pattern_code_trust,role_code,role_code_trust,scope_code,scope_code_trust,failed_login_attempts,failed_login_attempts_trust,historic_risk_score,historic_risk_score_trust,system_mode_code,system_mode_code_trust
1.2,0.8,2,0.75,1.0,0.7,5.0,0.6,0,0.9,41.29,0.7,-116.95,0.7,21.4,0.65,777.3,0.5,1.0,0.6,1720582800.0,0.55,48.05,0.5,-471.47,0.4,0,0.6,1266100600.0,0.65,1.0,0.75,0,0.9,38.74,0.85,3.0,0.7,3.0,0.8,2.0,0.75,1.2,0.95,50.19,0.9,0.0,0.8
1.2,0.8,2,0.75,1.0,0.7,5.0,0.6,0,0.9,37.86,0.7,-117.97,0.7,17.81,0.65,578.61,0.5,1.0,0.6,1724426800.0,0.55,38.68,0.5,-812.16,0.4,0,0.6,1631296800.0,0.65,1.0,0.75,0,0.9,9.67,0.85,3.0,0.7,2.0,0.8,2.0,0.75,0.9,0.95,37.51,0.9,0.0,0.8
1.2,0.8,2,0.75,1.0,0.7,5.0,0.6,0,0.9,46.08,0.7,-109.21,0.7,22.78,0.65,750.41,0.5,1.0,0.6,1720637300.0,0.55,44.56,0.5,-534.7,0.4,0,0.6,1027946100.0,0.65,-0.5430793762207031,0.75,0,0.9,30.31,0.85,3.0,0.7,3.0,0.8,3.0,0.75,1.02,0.95,49.68,0.9,0.0,0.8
1.2,0.8,1,0.75,1.0,0.7,4.0,0.6,0,0.9,35.03,0.7,-113.83,0.7,14.65,0.65,477.74,0.5,1.0,0.6,1724424600.0,0.55,44.82,0.5,188.38,0.4,0,0.6,1538499200.0,0.65,1.0,0.75,0,0.9,20.13,0.85,3.0,0.7,2.0,0.8,2.0,0.75,0.53,0.95,42.91,0.9,0.0,0.8
1.2,0.8,2,0.75,1.0,0.7,5.0,0.6,0,0.9,41.1,0.7,-107.87,0.7,18.04,0.65,534.43,0.5,1.0,0.6,1727075100.0,0.55,42.95,0.5,-89.21,0.4,0,0.6,2067611300.0,0.65,1.0,0.75,0,0.9,15.29,0.85,3.0,0.7,2.0,0.8,2.0,0.75,0.76,0.95,41.27,0.9,0.0,0.8
1.3,0.8,2,0.75,1.0,0.7,5.0,0.6,0,0.9,36.1,0.7,-123.3,0.7,15.71,0.65,747.52,0.5,1.0,0.6,1725687700.0,0.55,74.33,0.5,-718.29,0.4,0,0.6,1431327400.0,0.65,1.0,0.75,0,0.9,9.91,0.85,3.0,0.7,2.0,0.8,2.0,0.75,1.13,0.95,43.81,0.9,0.0,0.8
1.3,0.8,2,0.75,1.0,0.7,4.501230716705322,0.6,0,0.9,50.34,0.7,-114.98,0.7,23.7,0.65,610.09,0.5,1.0,0.6,1721643400.0,0.55,26.63,0.5,114.42,0.4,0,0.6,1576630500.0,0.65,-0.6577567458152771,0.75,0,0.9,24.79,0.85,3.0,0.7,2.0,0.8,2.0,0.75,0.82,0.95,42.54,0.9,0.0,0.8
1.3,0.8,2,0.75,1.0,0.7,4.0,0.6,0,0.9,42.95,0.7,-103.96,0.7,19.54,0.65,511.23,0.5,1.0,0.6,1719512600.0,0.55,19.41,0.5,-170.93,0.4,0,0.6,1094834200.0,0.65,1.0,0.75,0,0.9,14.91,0.85,2.0,0.7,2.0,0.8,3.0,0.75,1.05,0.95,36.5,0.9,0.0,0.8
1.2,0.8,2,0.75,1.0,0.7,5.0,0.6,0,0.9,39.02,0.7,-120.03,0.7,14.38,0.65,641.52,0.5,1.0,0.6,1725466800.0,0.55,56.73,0.5,-387.97,0.4,0,0.6,1635978600.0,0.65,1.0,0.75,0,0.9,7.59,0.85,2.0,0.7,2.0,0.8,2.0,0.75,0.9,0.95,35.13,0.9,0.0,0.8
1.2,0.8,2,0.75,1.0,0.7,5.0,0.6,0,0.9,40.66,0.7,-111.1,0.7,21.66,0.65,782.19,0.5,1.0,0.6,1721901200.0,0.55,68.33,0.5,-280.45,0.4,0,0.6,1048591200.0,0.65,1.0,0.75,0,0.9,38.37,0.85,3.0,0.7,3.0,0.8,2.0,0.75,0.87,0.95,56.05,0.9,0.0,0.8
