region_tz_code,region_tz_code_trust,os_code,os_code_trust,device_type_code,device_type_code_trust,manufacturer_code,manufacturer_code_trust,is_rooted,is_rooted_trust,gps_latitude,gps_latitude_trust,gps_longitude,gps_longitude_trust,location_conf_radius,location_conf_radius_trust,location_visit_count,location_visit_count_trust,shift_profile_code,shift_profile_code_trust,session_start_epoch,session_start_epoch_trust,session_duration_mins,session_duration_mins_trust,time_since_last_login_mins,time_since_last_login_mins_trust,day_type_code,day_type_code_trust,ip_address_as_int,ip_address_as_int_trust,ip_reputation_code,ip_reputation_code_trust,vpn_tor_usage,vpn_tor_usage_trust,typing_speed_cpm,typing_speed_cpm_trust,click_pattern_code,click_pattern_code_trust,role_code,role_code_trust,scope_code,scope_code_trust,failed_login_attempts,failed_login_attempts_trust,historic_risk_score,historic_risk_score_trust,system_mode_code,system_mode_code_trust
1.3,0.8,1.0,0.75,1,0.7,2,0.6,0,0.9,21.75,0.7,-107.45,0.7,20.11,0.65,444.89,0.5,2,0.6,1737861200.0,0.55,91.95,0.5,618.21,0.4,1,0.6,2879761400.0,0.65,-1.1701834201812744,0.75,0,0.9,59.77,0.85,2,0.7,2,0.8,1.0,0.75,-0.25,0.95,34.07,0.9,0,0.8
1.3,0.8,1.0,0.75,1,0.7,3,0.6,0,0.9,19.16,0.7,-92.17,0.7,15.13,0.65,246.7,0.5,2,0.6,1737496700.0,0.55,111.13,0.5,261.8,0.4,0,0.6,2933145600.0,0.65,-0.9858423471450806,0.75,0,0.9,55.62,0.85,2,0.7,2,0.8,1.0,0.75,-0.88,0.95,31.33,0.9,0,0.8
1.3,0.8,1.0,0.75,1,0.7,3,0.6,0,0.9,13.15,0.7,-95.06,0.7,25.56,0.65,467.36,0.5,3,0.6,1742354700.0,0.55,130.56,0.5,-131.3,0.4,1,0.6,4875620000.0,0.65,-1.493929386138916,0.75,0,0.9,70.1,0.85,2,0.7,2,0.8,1.0,0.75,-0.1,0.95,40.25,0.9,0,0.8
1.3,0.8,1.0,0.75,1,0.7,2,0.6,0,0.9,22.61,0.7,-108.22,0.7,19.6,0.65,443.02,0.5,2,0.6,1732517100.0,0.55,103.3,0.5,539.5,0.4,1,0.6,2744998400.0,0.65,-0.7112299203872681,0.75,0,0.9,59.0,0.85,2,0.7,2,0.8,1.0,0.75,-0.15,0.95,25.8,0.9,0,0.8
1.1,0.8,1.0,0.75,1,0.7,3,0.6,0,0.9,19.6,0.7,-104.1,0.7,14.73,0.65,163.58,0.5,2,0.6,1733695200.0,0.55,77.21,0.5,198.32,0.4,0,0.6,2644770600.0,0.65,-0.7792760729789734,0.75,0,0.9,35.49,0.85,2,0.7,2,0.8,1.0,0.75,-0.45,0.95,25.35,0.9,0,0.8
1.3,0.8,1.0,0.75,2,0.7,4,0.6,0,0.9,11.79,0.7,-86.34,0.7,27.07,0.65,590.42,0.5,3,0.6,1751352600.0,0.55,147.04,0.5,633.14,0.4,1,0.6,4146655500.0,0.65,-1.5671024322509766,0.75,0,0.9,72.03,0.85,2,0.7,2,0.8,-1.0430328845977783,0.75,-0.49,0.95,42.46,0.9,0,0.8
1.3,0.8,1.0,0.75,2,0.7,3,0.6,0,0.9,17.94,0.7,-93.56,0.7,22.54,0.65,646.0,0.5,3,0.6,1737256800.0,0.55,120.93,0.5,333.76,0.4,1,0.6,3587423200.0,0.65,-1.4156851768493652,0.75,1,0.9,51.17,0.85,2,0.7,1,0.8,1.0,0.75,0.21,0.95,30.38,0.9,0,0.8
1.3,0.8,1.0,0.75,1,0.7,4,0.6,0,0.9,18.19,0.7,-93.45,0.7,22.16,0.65,187.74,0.5,2,0.6,1742181900.0,0.55,142.7,0.5,263.43,0.4,0,0.6,4480393700.0,0.65,-1.1888052225112915,0.75,0,0.9,87.25,0.85,2,0.7,2,0.8,1.0,0.75,-0.49,0.95,30.59,0.9,0,0.8
1.3,0.8,1.0,0.75,1,0.7,3,0.6,0,0.9,21.39,0.7,-101.03,0.7,23.37,0.65,562.41,0.5,2,0.6,1736913000.0,0.55,122.75,0.5,813.63,0.4,1,0.6,3242384100.0,0.65,-1.1542736291885376,0.75,0,0.9,72.05,0.85,2,0.7,2,0.8,1.0,0.75,-0.1,0.95,28.7,0.9,0,0.8
1.3,0.8,1.0,0.75,1,0.7,3,0.6,0,0.9,23.93,0.7,-105.1,0.7,14.9,0.65,301.47,0.5,2,0.6,1730795600.0,0.55,106.65,0.5,206.8,0.4,0,0.6,2559865600.0,0.65,-0.6136465072631836,0.75,0,0.9,55.4,0.85,2,0.7,2,0.8,1.0,0.75,-0.42,0.95,20.04,0.9,0,0.8
