region_tz_code,region_tz_code_trust,os_code,os_code_trust,device_type_code,device_type_code_trust,manufacturer_code,manufacturer_code_trust,is_rooted,is_rooted_trust,gps_latitude,gps_latitude_trust,gps_longitude,gps_longitude_trust,location_conf_radius,location_conf_radius_trust,location_visit_count,location_visit_count_trust,shift_profile_code,shift_profile_code_trust,session_start_epoch,session_start_epoch_trust,session_duration_mins,session_duration_mins_trust,time_since_last_login_mins,time_since_last_login_mins_trust,day_type_code,day_type_code_trust,ip_address_as_int,ip_address_as_int_trust,ip_reputation_code,ip_reputation_code_trust,vpn_tor_usage,vpn_tor_usage_trust,typing_speed_cpm,typing_speed_cpm_trust,click_pattern_code,click_pattern_code_trust,role_code,role_code_trust,scope_code,scope_code_trust,failed_login_attempts,failed_login_attempts_trust,historic_risk_score,historic_risk_score_trust,system_mode_code,system_mode_code_trust
1.1,0.234,2,0.007,1,0.429,3.0,0.415,-1,0.491,27.12,0.402,-99.26,0.123,18.45,0.342,208.36,0.496,2.0,0.077,1.7169595e+09,0.24,-15.26,0.178,-6.44,0.515,0,0.329,1.1029143e+09,0.547,2,0.694,0,0.909,52.54,0.622,2,1.0,2.0,0.596,1,1.0,0.43,0.641,22.95,0.709,0,0.597
1.1,0.057,2,0.078,1,0.189,5.0,0.377,-1,0.273,31.18,0.27,-77.61,0.081,25.13,0.298,275.85,0.249,2.0,0.449,1.7180303e+09,0.241,11.73,0.259,110.46,0.18,0,0.111,2.4564332e+09,0.267,2,0.72,0,0.985,80.27,0.647,2,0.655,2.0,0.586,1,0.817,0.27,0.701,40.56,1.0,0,0.994
1.1,0.106,2,0.262,1,0.163,2.0,0.092,0,0.484,27.38,0.108,-106.32,0.232,15.72,0.342,386.1,0.105,2.0,0.236,1.7183409e+09,0.204,-17.28,0.201,182.11,0.075,0,0.241,1.3903872e+09,0.245,1,0.858,0,0.86,35.94,0.755,2,1.0,2.0,1.0,1,0.996,0.18,0.999,12.35,0.829,0,0.884
1.1,0.376,1,0.201,1,0.344,3.0,0.23,0,0.471,31.23,0.358,-98.22,0.025,17.69,0.176,199.61,0.296,2.0,0.193,1.7202646e+09,0.547,-1.65,0.541,-514.6,0.489,0,0.07,1.1831316e+09,0.365,2,0.864,0,0.911,54.37,0.708,2,0.697,2.0,0.845,1,0.661,0.42,0.679,29.22,0.673,0,0.643
1.1,0.442,1,0.134,1,0.305,4.0,0.309,0,0.316,34.11,0.454,-97.05,0.043,19.35,0.048,257.8,0.077,3.0,0.387,1.7200033e+09,0.34,-1.03,0.307,-226.56,0.459,0,0.3,1.7333898e+09,0.365,2,0.663,0,0.72,57.92,1.0,2,0.765,2.0,0.591,2,0.559,0.53,0.742,14.75,0.66,0,0.897
1.1,0.429,2,0.286,1,0.224,4.0,0.108,-1,0.066,31.33,0.268,-89.12,0.153,22.39,0.055,417.05,0.427,2.0,0.341,1.7189313e+09,0.093,13.31,0.174,536.4,0.163,0,0.24,2.3189115e+09,0.284,2,0.573,0,0.703,58.71,0.588,2,0.599,2.0,0.57,1,0.725,-0.18,0.706,23.87,0.635,0,0.906
1.1,0.233,2,0.024,1,0.233,3.0,0.107,0,0.137,26.91,0.223,-93.25,0.473,16.44,0.125,262.8,0.197,2.0,0.082,1.718466e+09,0.226,-1.98,0.514,532.26,0.227,0,0.055,1.3345298e+09,0.425,2,0.698,0,0.655,31.32,0.64,2,0.579,2.0,0.759,1,0.566,0.25,0.665,23.19,0.686,0,0.642
1.1,0.083,1,0.403,1,0.16,3.0,0.287,0,0.19,36.5,0.005,-92.44,0.183,19.57,0.029,194.23,0.453,2.0,0.074,1.7186779e+09,0.135,8.6,0.508,385.96,0.094,0,0.286,1.2376678e+09,0.324,2,0.581,0,0.588,55.69,0.603,2,0.59,2.0,0.672,1,0.747,0.29,0.731,18.03,0.743,0,0.565
1.1,0.334,2,0.079,1,0.077,3.0,0.298,0,0.191,32.2,0.228,-93.21,0.339,21.39,0.052,285.22,0.247,2.0,0.32,1.7169732e+09,0.408,8.7,0.279,766.89,0.294,0,0.083,1.6213856e+09,0.051,2,0.69,0,0.604,57.05,0.986,2,0.851,2.0,0.553,1,0.66,-0.18,0.616,18.99,0.694,0,0.908
1.1,0.355,2,0.002,1,0.185,3.0,0.007,0,0.294,28.28,0.39,-101.8,0.376,15.46,0.034,252.89,0.091,2.0,0.531,1.7168369e+09,0.187,4.51,0.18,-131.19,0.162,0,0.387,1.0705107e+09,0.29,2,0.594,0,0.566,42.24,0.877,2,0.734,2.0,0.581,1,0.989,0.41,0.626,16.06,0.747,0,0.687
1.1,0.002,2,0.196,1,0.25,4.0,0.154,0,0.098,30.21,0.019,-98.76,0.338,20.68,0.097,328.69,0.366,2.0,0.48,1.7175231e+09,0.222,7.34,0.321,259.14,0.083,0,0.355,1.4285866e+09,0.342,2,0.67,0,0.652,61.84,0.804,2,0.599,2.0,0.683,1,0.748,0.14,0.737,21.82,0.641,0,0.649
