region_tz_code,os_code,device_type_code,manufacturer_code,is_rooted,gps_latitude,gps_longitude,location_conf_radius,location_visit_count,shift_profile_code,session_start_epoch,session_duration_mins,time_since_last_login_mins,day_type_code,ip_address_as_int,ip_reputation_code,vpn_tor_usage,typing_speed_cpm,click_pattern_code,role_code,scope_code,failed_login_attempts,historic_risk_score,system_mode_code
1.1,2,1,5,0,45.261733,-73.212986,25,1,3,1713897540,36,180,0,3466479452,1,1,53,3,3,3,0,43.84,0
1.1,2,1,5,0,45.275091,-73.218176,14,2,3,1713903060,75,92,0,1156324514,1,0,60,3,3,3,0,37.95,0
1.1,2,1,5,0,45.267508,-73.214665,12,3,3,1713906360,22,55,0,1156338091,3,0,64,3,3,3,0,33.38,0
1.1,2,1,5,0,45.345995,-73.324618,16,4,3,1713975180,96,1147,0,1156345857,2,0,65,3,3,3,0,26.88,0
1.1,2,1,5,0,45.350924,-73.305715,23,5,3,1713979080,52,65,0,1156350960,1,0,58,3,3,3,0,28.91,0
1.1,2,1,5,0,45.276067,-73.223832,8,6,3,1713986880,90,130,0,1156370510,1,0,60,3,3,3,0,25.41,0
1.1,2,1,5,0,45.252993,-73.225134,25,7,3,1713991140,80,71,0,1156365273,1,0,60,3,3,3,0,30.4,0
1.1,2,1,5,0,45.256671,-73.217179,13,8,3,1713995100,7,66,0,1156347802,3,0,72,3,3,3,0,31.39,0
1.1,2,1,5,0,45.344912,-73.296735,15,9,3,1714066320,157,1187,0,1156353065,2,0,51,3,3,3,0,33.6,0
1.1,2,1,5,0,45.264264,-73.213447,8,10,3,1714077180,85,181,0,1156331725,1,0,39,3,3,3,0,33.24,0
1.1,2,1,5,0,45.253056,-73.23197,12,11,3,1714077720,39,9,0,1156344890,1,0,56,3,3,3,0,27.19,0
1.1,2,1,5,0,45.272348,-73.238673,10,12,3,1714080960,11,54,0,1156345445,1,0,58,3,3,3,0,31.92,0
1.1,2,1,5,0,45.348078,-73.304162,19,13,3,1714141500,105,1009,0,1156354794,2,0,66,3,3,3,0,25.87,0
1.1,2,1,5,0,45.35423,-73.303777,18,14,3,1714141980,125,8,0,1137799486,3,1,65,3,3,3,0,34.22,0
1.1,2,1,5,0,45.269388,-73.23664,23,15,3,1714167120,20,419,0,1156354691,1,0,50,3,3,3,0,23.23,0
1.1,2,1,5,0,45.344004,-73.310361,13,16,3,1714315620,131,2475,1,1156337384,2,0,68,3,3,3,0,29.12,0
1.1,2,1,5,0,45.361168,-73.31115,18,17,3,1714320120,87,75,1,1156324125,1,0,58,3,3,3,0,33.08,0
1.1,2,1,5,0,45.352551,-73.322396,12,18,3,1714413540,23,1557,0,1156355441,1,0,58,3,3,3,0,27.4,0
1.1,2,1,5,0,45.260899,-73.212227,25,19,3,1714414440,44,15,0,1156326085,1,0,85,3,3,3,0,36.97,0
1.1,2,1,5,0,45.259247,-73.232745,16,20,3,1714422180,71,129,0,1156342978,1,0,74,3,3,3,0,28.86,0
1.1,2,1,5,0,45.260091,-73.228447,11,21,3,1714423860,69,28,0,1156335492,2,0,52,3,3,3,0,22.48,0
1.1,2,1,5,0,45.27449,-73.225609,16,22,3,1714426560,12,45,0,1156342483,1,0,53,3,3,3,0,26.28,0
1.1,2,1,5,0,45.359733,-73.318412,17,23,3,1714486800,9,1004,0,1156321220,2,0,83,3,3,3,0,29.62,0
1.1,2,1,5,0,45.342438,-73.308386,16,24,3,1714489200,48,40,0,1156351918,2,0,56,3,3,3,0,29.66,0
1.1,2,1,5,0,45.362448,-73.304771,20,25,3,1714493940,173,79,0,1156364166,2,0,54,3,3,3,0,29.74,0
1.1,2,1,5,0,45.351529,-73.306525,24,26,3,1714498380,32,74,0,1156382640,1,0,61,3,3,3,0,31.33,0
1.1,2,1,5,0,45.272442,-73.236648,8,27,3,1714509780,9,190,0,1156347649,1,0,51,3,3,3,0,22.31,0
1.1,2,1,5,0,45.252197,-73.235152,9,28,3,1714513740,5,66,0,1156348200,1,0,65,3,3,3,0,30.11,0
1.1,2,1,5,0,45.353288,-73.30333,21,29,3,1714578480,17,1079,0,1156353458,1,0,65,3,3,3,0,36.9,0
1.1,2,1,5,0,46.199467,-72.960631,17,30,3,1714579620,17,19,0,1156346165,1,0,34,3,3,3,0,37.42,0
1.1,2,1,5,0,45.341799,-73.316261,19,31,3,1714581660,112,34,0,1156329651,1,0,49,3,3,3,0,27.1,0
1.1,2,1,5,0,45.356692,-73.319346,17,32,3,1714583160,100,25,0,3632365362,1,1,59,3,3,3,0,44.26,0
1.1,2,1,5,0,45.255495,-73.224343,18,33,3,1714586640,129,58,0,1156345856,1,0,59,3,3,3,0,29.2,0
1.1,2,1,5,0,45.254018,-73.232854,14,34,3,1714591800,143,86,0,1156341256,1,0,51,3,3,3,0,32.74,0
1.1,2,1,5,0,45.36413,-73.299465,8,35,3,1714666080,160,1238,0,1156326149,1,0,56,3,3,3,0,32.24,0
1.1,2,1,5,0,45.52426,-75.084276,24,36,3,1714669500,52,57,0,1156322064,2,0,47,3,3,3,0,30.68,0
1.1,2,1,5,0,45.251447,-73.237476,16,37,3,1714679700,83,170,0,1156324624,1,0,47,3,3,3,0,25.68,0
1.1,2,1,5,0,45.275897,-73.215693,11,38,3,1714679820,96,2,0,1156368170,2,0,76,3,3,3,0,37.97,0
1.1,2,1,5,0,45.254378,-73.223563,18,39,3,1714681620,24,30,0,1156380913,1,0,53,3,3,3,0,30.81,0
1.1,2,1,5,0,45.251835,-73.230867,15,40,3,1714683600,32,33,0,1156317905,1,0,62,3,3,3,0,25.24,0
1.1,2,1,5,0,45.368977,-73.315368,16,41,3,1714753260,175,1161,0,1156320693,1,0,61,3,3,3,0,28.41,0
1.1,2,1,5,0,45.344344,-73.315606,19,42,3,1714755360,87,35,0,3341190807,1,1,79,3,3,3,0,35.78,0
1.1,2,1,5,0,45.367846,-73.317193,22,43,3,1714756800,116,24,0,1156367087,1,0,61,3,3,3,0,32.06,0
