latitude,longitude,ipString,currentTime,availableMemory,rssi,timezone,Processors,Battery,Vendor,Model,systemPerformance,cpu,accel,gyro,magnet,screenWidth,screenLength,screenDensity,hasTouchScreen,hasCamera,hasFrontCamera,hasMicrophone,hasTemperatureSensor
65.7022113,130.007588,10.0.2.103,2024-11-07 15:47:08,1047514346,-29,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.3307093,129.370154,10.0.2.191,2024-11-07 00:51:39,1015667153,-29,Etc/UTC,4,94,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.6268743,129.6587,10.0.2.99,2024-11-07 22:30:03,1044668679,-29,Etc/UTC,4,99,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.4122403,129.312119,10.0.2.6,2024-11-07 23:00:02,1102689290,-22,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.6212093,129.437938,10.0.2.109,2024-11-07 20:26:46,1062488140,-21,Etc/UTC,4,98,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.6287853,129.43228200000001,10.0.2.255,2024-11-07 12:30:51,1070322725,-39,Etc/UTC,4,98,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.3736323,129.49177600000002,10.0.2.19,2024-11-07 13:53:52,1126282397,-27,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.2540503,129.31041100000002,10.0.2.14,2024-11-07 14:04:16,1024192192,-25,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.2876573,130.19581300000002,10.0.2.200,2024-11-07 15:41:36,1061768273,-39,Etc/UTC,4,97,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.2522413,129.447662,10.0.2.145,2024-11-07 16:52:30,1164152641,-23,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.5523283,129.367408,10.0.2.133,2024-11-07 14:20:05,1105568317,-40,Etc/UTC,4,96,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.2953603,129.969539,10.0.2.8,2024-11-07 11:31:53,1183612467,-23,Etc/UTC,4,98,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
64.8224753,129.818038,10.0.2.122,2024-11-07 02:06:27,1157471145,-36,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.4193943,129.606716,10.0.2.240,2024-11-07 12:31:19,1165244975,-30,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.4907193,129.680802,10.0.2.217,2024-11-07 04:35:43,1021824449,-36,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.5040163,130.149272,10.0.2.28,2024-11-07 21:19:22,1109681228,-25,Etc/UTC,4,90,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
65.7155543,129.54541500000002,10.0.2.77,2024-11-07 12:44:04,1184364649,-37,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2148,440,True,True,True,True,True
