latitude,longitude,ipString,currentTime,availableMemory,rssi,timezone,Processors,Battery,Vendor,Model,systemPerformance,cpu,accel,gyro,magnet,screenWidth,screenLength,screenDensity,hasTouchScreen,hasCamera,hasFrontCamera,hasMicrophone,hasTemperatureSensor
65.3776823,129.987673,10.0.2.27,2024-11-07 08:05:26,1089154241,-33,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
64.9850133,130.184426,10.0.2.21,2024-11-07 11:34:39,1116091755,-20,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.6680953,130.26931000000002,10.0.2.231,2024-11-07 10:58:29,1082341260,-38,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.1562383,129.608797,10.0.2.222,2024-11-07 18:25:31,1137343361,-22,Etc/UTC,4,91,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.0150513,129.700346,10.0.2.114,2024-11-07 01:55:43,1077188327,-23,Etc/UTC,4,95,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.7147123,130.16368,10.0.2.13,2024-11-07 03:20:13,1147435145,-25,Etc/UTC,4,93,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.5740873,129.443141,10.0.2.79,2024-11-07 03:05:06,1131599717,-36,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.4579943,130.265331,10.0.2.84,2024-11-07 13:50:33,1040050119,-28,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.3644253,129.43929400000002,10.0.2.138,2024-11-07 12:49:40,1195747143,-35,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.6268453,129.813234,10.0.2.59,2024-11-07 12:59:08,1136174354,-24,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.1365293,130.032855,10.0.2.61,2024-11-07 07:25:08,1158547534,-26,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
64.8704413,129.731186,10.0.2.185,2024-11-07 12:14:23,1094961995,-35,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.0906813,129.62875,10.0.2.155,2024-11-07 22:17:54,1038069390,-25,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.7435843,129.58057300000002,10.0.2.61,2024-11-07 19:21:37,1111707835,-27,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.0853583,129.59643,10.0.2.19,2024-11-07 02:05:54,1193935904,-21,Etc/UTC,4,92,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.0567133,130.208187,10.0.2.112,2024-11-07 04:41:49,1120314247,-37,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
65.8129863,130.137705,10.0.2.36,2024-11-07 07:03:16,1024391182,-30,Etc/UTC,4,99,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1440,2872,560,True,True,True,True,True
